ID,Phrase,Phrase Sentiment,Phrase Sentiment +/-,Entity,Entity Type,Entity Sentiment,Theme,Theme Sentiment
9d4a15fc-f979-493a-804a-059a4be5e64b,Happy,1,positive, #applepride,Pattern,0.600000024,,
9d4a15fc-f979-493a-804a-059a4be5e64b,celebrate,0.600000024,positive,  http://t.co/2A9YD9z95B,Regex,0,,
9d4a15fc-f979-493a-804a-059a4be5e64b, #applepride,0.600000024,positive,,,,,
9d4a15fc-f979-493a-804a-059a4be5e64b,friends,0.550000012,positive,,,,,
208fecbf-f26a-42e7-9758-e0b91ed6b4dc,crazy,-0.5,negative,“The people who are crazy enough to think they can change the world are the ones who do.”,Quote,-0.5,,
899e7318-226a-4f49-b45e-e9e80869f27b,victory,0.75,positive,,,,,
899e7318-226a-4f49-b45e-e9e80869f27b,love,0.600000024,positive,,,,,
899e7318-226a-4f49-b45e-e9e80869f27b,perseverance,0.600000024,positive,,,,,
b72e9401-8faf-4143-b042-462b9f72e80b,victim,-0.49000001,negative,,,,eradicating racism,-0.49000001
b72e9401-8faf-4143-b042-462b9f72e80b,eradicating,-0.49000001,negative,,,,,
b72e9401-8faf-4143-b042-462b9f72e80b,racism,-0.49000001,negative,,,,,
b72e9401-8faf-4143-b042-462b9f72e80b,honor,0.531316638,positive,,,,,
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,Enjoy,0.980000019,positive,Apple,Company,0.980000019,great time,0.600000024
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,great time,0.600000024,positive,Store Boylston St,Place,0,meeting customers,0.695000052
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,,,,Boston,Place,0,,
f75053d8-ec90-43a0-b6a3-5de9cfd4947f,,,,  http://t.co/7AOGyCSW9i,Regex,0,,
55559f02-7c44-48d2-9bb3-4db5162b62cf,,,, #WWDC15,Pattern,0,,
7e7ee254-9aaf-46fa-bfba-ba1c1049de15,impressed,1,positive, #WWDC15,Pattern,0,talented student scholarship winners,0.480517238
7e7ee254-9aaf-46fa-bfba-ba1c1049de15,talented,0.5,positive,  http://t.co/LN1ZXmCqGf,Regex,0,incredibly impressed,1
7e7ee254-9aaf-46fa-bfba-ba1c1049de15,scholarship,0.5,positive,,,,,
7e7ee254-9aaf-46fa-bfba-ba1c1049de15,winners,0.441551745,positive,,,,,
e3f52626-04c3-4e83-95f2-9492af1a4e53,freedom,0.680000007,positive, #MemorialDay,Pattern,0,courageous men,0.600000024
e3f52626-04c3-4e83-95f2-9492af1a4e53,courageous,0.600000024,positive,,,,,
e3f52626-04c3-4e83-95f2-9492af1a4e53,honoring,0.485000014,positive,,,,,
e3f52626-04c3-4e83-95f2-9492af1a4e53,fight,-0.400000006,negative,,,,,
21d28296-f327-4c14-b1e2-d314993dbcc8,Great,1.200000048,positive, #GWCommencement,Pattern,0,Great progress,0.507391334
21d28296-f327-4c14-b1e2-d314993dbcc8,progress,0.829565287,positive,,,,,
21d28296-f327-4c14-b1e2-d314993dbcc8,Congratulations,0.5,positive,,,,,
cee49da9-4c35-4618-8654-99f728be9c5e,Heartbroken,-0.672000051,negative, #BBKing,Pattern,0,,
cee49da9-4c35-4618-8654-99f728be9c5e,never be,-0.400000006,negative,,,,,
cee49da9-4c35-4618-8654-99f728be9c5e,thrill,0.49000001,positive,,,,,
67af1da3-b95c-4037-9d8e-0083904fb4c4,new initiative,0.672352016,positive,  http://t.co/vblxDgpSZm,Regex,0,,
67af1da3-b95c-4037-9d8e-0083904fb4c4,quality,0.49000001,positive,,,,,
67af1da3-b95c-4037-9d8e-0083904fb4c4,improve,0.49000001,positive,,,,,
67af1da3-b95c-4037-9d8e-0083904fb4c4,,,,,,,,
c161ac26-4282-4d36-847a-72f2209c7e42,,,, CTurlington,Person,0,personal record,0
c161ac26-4282-4d36-847a-72f2209c7e42,,,, LondonMarathon,Person,0,,
c161ac26-4282-4d36-847a-72f2209c7e42,,,,  http://t.co/1qYjEy5klq,Regex,0,,
bdc32da6-cf0b-4a2b-a336-ec4fc792bd5c,tragic,-0.75,negative,Nepal,Place,-0.574999988,tragic earthquake,-0.574999988
bdc32da6-cf0b-4a2b-a336-ec4fc792bd5c,earthquake,-0.400000006,negative, #iTunes,Pattern,0,relief effort,-0.287499994
bdc32da6-cf0b-4a2b-a336-ec4fc792bd5c,,,, #AppStore,Pattern,0,,
497a473b-8f84-492f-a410-94ecf63fe934,Hope,0.980000019,positive,https://t.co/CE6QJUnoQk,Regex,0,,
497a473b-8f84-492f-a410-94ecf63fe934,enjoy,0.980000019,positive,,,,,
691aeef2-9cdb-4866-acb5-2541d099b793,luck,1.079200029,positive, CTurlington,Person,0,,
691aeef2-9cdb-4866-acb5-2541d099b793,Best,0.980000019,positive, LondonMarathon,Person,0,,
691aeef2-9cdb-4866-acb5-2541d099b793,cheering,0.515274525,positive, EveryMomCounts,Person,0,,
691aeef2-9cdb-4866-acb5-2541d099b793,,,,  http://t.co/VvlLRgPZFc,Regex,0,,
b2dcfca9-5b86-4ffb-b462-702bc2e646b4,unforgettable,1.210000038,positive, Pharrell,Person,1.095000029,,
b2dcfca9-5b86-4ffb-b462-702bc2e646b4,celebration,0.980000019,positive,  http://t.co/UT2zxbCBW9,Regex,0,,
aead020d-a752-417b-a921-f4fca1476b5c,,,,  http://t.co/iIHRXEwpfA,Regex,0,,
aead020d-a752-417b-a921-f4fca1476b5c,,,,  http://t.co/SIyZVAeznL,Regex,0,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,renewable energy,0.423999995,positive,  http://t.co/iIHRXEwpfA,Regex,0,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,latest,-0.46154511,negative,  http://t.co/yNv6PfpGJN,Regex,0,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,progress,0.414782643,positive,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,,,,,,,,
8ea37b44-aabe-4809-b7a4-342bf8f338c6,,,,,,,,
f4f3ceb8-87db-4fe4-a938-5ff42282f5f3,,,,  http://t.co/9HS86MlZTH,Regex,0,,
bda777ff-d871-45f1-bd01-a0de5c7a895c,great,0.720000029,positive, RFKHumanRights,Person,0,great cause,0.600000024
bda777ff-d871-45f1-bd01-a0de5c7a895c,,,,https://t.co/QxaKne4itb,Regex,0,,
800fae48-a033-44c1-8bdd-ff552f498cf3,love,1.200000048,positive,  http://t.co/Mx3M0DO4Qf,Regex,0,,
800fae48-a033-44c1-8bdd-ff552f498cf3,Thrilled,0.600000024,positive,,,,,
800fae48-a033-44c1-8bdd-ff552f498cf3,many customers,0.32516101,positive,,,,,
800fae48-a033-44c1-8bdd-ff552f498cf3,first time,0.152429,neutral,,,,,
8c6a8b0b-7cfb-4b25-ad11-0e01c8594640,,,,Fifth Avenue,Place,0,,
8c6a8b0b-7cfb-4b25-ad11-0e01c8594640,,,,  http://t.co/mgP8TEWlcA,Regex,0,,
d008c7fb-c6af-4db4-905d-e95397a91745,dangerous,-0.872200012,negative,  http://t.co/QJTkCuZVdo,Regex,0,,
16bab028-7914-415b-91c2-afa65b997053,love,0.600000024,positive,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
16bab028-7914-415b-91c2-afa65b997053,,,,,,,,
390828ad-feed-4579-92ff-fa1b2860dd8f,disappointed,-0.926100016,negative,Apple,Company,-0.59297502,,
390828ad-feed-4579-92ff-fa1b2860dd8f,new law,-0.259849995,negative,Indiana,Place,-0.259849995,,
390828ad-feed-4579-92ff-fa1b2860dd8f,,,,Gov.,Job Title,-0.259849995,,
390828ad-feed-4579-92ff-fa1b2860dd8f,,,, #HB1228,Pattern,-0.259849995,,
435b37df-01d7-49ec-a393-7f840eeba549,talented team,0.699999988,positive,Apple,Company,0.699999988,talented team,0.699999988
435b37df-01d7-49ec-a393-7f840eeba549,huge,0.200000003,neutral,,,,,
3aebbeda-fea4-43c5-b48c-1fe4f518713d,,,, OneRepublic,Person,0,,
8eae80c3-9447-4aaa-8ed9-cff483c8bb30,,,,,,,extra rest,0
3aa0cde7-8d79-4699-b8b7-ee2a2a6c4366,Honoring,0.485000014,positive, #Selma50,Pattern,0,equality today,0.042500004
3aa0cde7-8d79-4699-b8b7-ee2a2a6c4366,fight,-0.400000006,negative,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,Celebrating,0.574999988,positive,  http://t.co/J0HL5KEBLS,Regex,0,breathtaking photos,0.49000001
e66fbfce-96c3-4071-a877-4f9c8adcd93d,amazing,0.49000001,positive,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,breathtaking,0.49000001,positive,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,,,,,,,,
e66fbfce-96c3-4071-a877-4f9c8adcd93d,,,,,,,,
a06cda12-b8ea-4139-abf8-d3ffcb8867c9,,,,  http://t.co/43pHDyg8iK,Regex,0,war großartig,0
0c142f2b-5634-48d8-94db-ea0b3b784fe3,great,0.600000024,positive,Steve,Person,0,great work,0.600000024
0c142f2b-5634-48d8-94db-ea0b3b784fe3,love,0.600000024,positive,"""The only way to do great work is to love what you do.""",Quote,0.600000024,,
0c142f2b-5634-48d8-94db-ea0b3b784fe3,,,,  http://t.co/0YD0gZ7jvm,Regex,0,,
1ca29f13-0dec-4930-80a3-d4bc7cb2633e,innovative,1.200000048,positive,  http://t.co/bZVe3dIGL0,Regex,0,innovative glass makers,0.600000024
1ca29f13-0dec-4930-80a3-d4bc7cb2633e,,,,,,,giant panels,0.600000024
1ca29f13-0dec-4930-80a3-d4bc7cb2633e,,,,,,,,
1ca29f13-0dec-4930-80a3-d4bc7cb2633e,,,,,,,,
1ca29f13-0dec-4930-80a3-d4bc7cb2633e,,,,,,,,
1ca29f13-0dec-4930-80a3-d4bc7cb2633e,,,,,,,,
eee840d5-b766-4437-a280-edd6dbd642a5,inspires,0.720000029,positive, RepJohnLewis,Person,0,year march,0.678437531
eee840d5-b766-4437-a280-edd6dbd642a5,Honored,0.553749979,positive,Apple,Company,0,,
eee840d5-b766-4437-a280-edd6dbd642a5,,,, MARCHTrilogy,Person,0,,
eee840d5-b766-4437-a280-edd6dbd642a5,,,,  http://t.co/I5ye7OdIDi,Regex,0,,
2115d453-2904-4eaf-8ea5-7567c70d81b4,best,0.49000001,positive, #PresidentsDay,Pattern,0.245000005,,
2115d453-2904-4eaf-8ea5-7567c70d81b4,,,,Abraham Lincoln,Person,0,,
2115d453-2904-4eaf-8ea5-7567c70d81b4,,,,"""The best way to predict the future is to create it.""",Quote,0.49000001,,
e6324807-a321-4475-8aa9-42873510c06c,inspiring,1.200000048,positive, #Coach1K,Pattern,0.88310349,,
e6324807-a321-4475-8aa9-42873510c06c,Congratulations,1,positive, dukebasketball,Person,0,,
e6324807-a321-4475-8aa9-42873510c06c,wins,0.88310349,positive, dukeblueplanet,Person,0,,
4ae08cbc-2027-4247-92c3-6f05f1902b4b,,,, #AppleStoreWestLake,Pattern,0,Starting Something,0
4ae08cbc-2027-4247-92c3-6f05f1902b4b,,,,  http://t.co/8L5gVKfLjn,Regex,0,,
fdc2ae9d-9052-4b08-a15a-23cbf10ec780,Congratulations,1,positive, levie,Person,0.980000019,great company,0.49000001
fdc2ae9d-9052-4b08-a15a-23cbf10ec780,great company,0.980000019,positive,,,,,
54cad5d8-61e5-4d7c-8a81-73307389b192,,,, #MLK,Pattern,0,Timeless words,0
54cad5d8-61e5-4d7c-8a81-73307389b192,,,,“Our lives begin to end the day we become silent about things that matter.”,Quote,0,,
cb62f480-d9a4-40b9-bed5-530be8daf944,safe,-0.600000024,negative, #MLK:There,Pattern,0,neither safe,-0.600000024
cb62f480-d9a4-40b9-bed5-530be8daf944,popular,-0.600000024,negative,,,,,
c8d379ba-5f7b-4feb-b1ce-b018997a24d9,Honoring,0.485000014,positive,Martin Luther King,Person,0,,
c8d379ba-5f7b-4feb-b1ce-b018997a24d9,,,, #MLK,Pattern,0,,
c8d379ba-5f7b-4feb-b1ce-b018997a24d9,,,,  http://t.co/ngqL0bym8y,Regex,0,,
8503af6c-5b38-4ac7-b529-4607c44c59f2,terror,0.900000036,positive,France,Place,0.633333385,,
8503af6c-5b38-4ac7-b529-4607c44c59f2, #UnityRally,0.720000029,positive, #UnityRally,Pattern,0.633333385,,
8503af6c-5b38-4ac7-b529-4607c44c59f2,friends,0.660000026,positive,,,,,
